taxon,assessor,redlist,info,threats,motivation,threats
Alaena margaritacea,D A Edge,CR,Tops list,Habitat loss degradation,"Occurs in very small area, declining population ",
Anthropoides paradiseus,Hamer,VU,Tops list; IUCN Red List,"Habitat loss, also collecting of chicks",Chicks are illegally collected for trade,
Balearica regulorum,Hamer,VU,Tops list; IUCN Red List,"Habitat loss, also collecting of chicks",Chicks are illegally collected for trade,
Bitis albanica,Andrew Turner,NE,,Collection.,Small populations vulnerable to collection. Locality data should not be displayed.,
Bitis armata,Andrew Turner,NE,,Some populations are small and vulnerable to collection.,Some populations are small and vulnerable to collection.,
Bitis gabonica,"Hamer, M",NE,Tops list,,,
Bitis inornata,Andrew Turner,NE,,Collection.,"Small populations, may be vulnerable to collecting although not easy to find.",
Bitis schneideri,"Hamer, M",NE,Tops list,,,
Bradypodion pumilum,"Hamer, based on information from Pfab, M",NE,"Cites, Tops lists",Is traded,Traded in low volumes,
Bradypodion taeniabronchum,"Hamer, M",NE,Tops list,,,
Ceratotherium simum,"Hamer, M",NT,Tops List protected,Cites Appendix 2,rapid increase in illegal poaching in SA; populations on private property could be targeted ,
Chamaeleo dilepis,"Hamer, based on information from Pfab, M",NE,,Cites listed,Traded in moderate quantities,
Chrysoritis dicksoni,D A Edge,CR,Tops list,Habitat loss and degradation,Only two viabl;e populations known,
Chrysoritis thysbe subsp. schloszae,D A Edge,CR,Tops list,Habitat fragmentation and loss,"Only one, declining population",
Colophon barnardi,"Turner, A",EN,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon cameroni,"Turner, A",VU,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon cassoni,"Turner, A",CE,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon cassoni subsp. recurva,"Turner, A",CE,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon eastmani,"Turner, A",EN,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon endrodyi,"Turner, A",NE,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon haughtoni,"Turner, A",EN,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon heli,"Turner, A",NE,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon izardi,"Turner, A",NT,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon montisatris,"Turner, A",CE,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon primosi,"Turner, A",CE,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon stokoei,"Turner, A",VU,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon thunbergi,"Turner, A",EN,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon westwoodi,"Turner, A",VU,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Colophon whitei,"Turner, A",EN,"IUCN Red List, tops list",Collecting for illegal trade / pets,IUCN Red List,"Species have very limited distributions; targeted by collectors / traders, limited mobility"
Cordylus cataphractus,"Hamer, based on information from Pfab, M",NE,"Cites, Tops lists",Is traded,Traded in low volumes,
