taxon,justification,threats,status,criteria,pop_trend,RangeSize,PopulationSize,NumberOfSubpopulations,GrowthForms,SensitiveGrowthForm,GenusCollected,SpeciesCollectionThreat,PurposeMedicine,PurposeHorticulture,PurposeFood,PurposeFuel,PurposeMaterials,include
Adenium swazicum,,"Collecting for horticultural and medicinal reasons.
Fifty percent of its past habitat (based on aerial photographs) has been transformed by sugar cane agriculture over the past three generations.
Estimated overall as 80% decline over three generations, ",CR,A4acd,Decreasing,0,0,0,Dwarf shrub;Succulent,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
Alepidea amatymbica,"JEV: Not sure that I agree with inclusion of this species: it is threatened by people who do not have electronic resources available (GPS, internet etc.) and besides they already know where they are (probably know a lot more populations than you can get from Precis too!)
LVS: No: Widespread medicinal VU under criterion A only.","With the exception of Dold & Cocks (2002), all of the publications indicating that Alepidea amatymbica is heavily harvested and threatened by the medicinal plant trade do not specify which variety is traded (e.g. Cunningham 1988, De Castro & Van Wyk 1994,",VU,A2d,Decreasing,291900,0,0,Herb,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Aloe aculeata Pole-Evans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,>20000,,>10,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe affinis A.Berger,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,16700,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe africana Mill.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,6800,>10000,>10,Shrub;Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe albida (Stapf) Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Decreasing,118,,,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe alooides (Bolus) Druten,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,900,,>10,Shrub;Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe ammophila Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe andersonii Van Jaarsv. & P.Nel,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,,,,,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe angelica Pole-Evans,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,2000,,>5,Shrub;Succulent;Tree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe arborescens Mill.,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,LC,,Stable,>100000,,>100,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe arenicola Reynolds,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,"B1ab(ii,iii,iv,v)",Decreasing,3300,,>15,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe barbara-jeppeae T.A.McCoy & Lavranos,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,NT,D2,Stable,244,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Aloe bergeriana (Dinter) Boatwr. & J.C.Manning,"LVS: maybe block all species
AGR: I disagree: this would be counterproductive for Euphorbia and Aloe.",,DDD,,Unknown,12266,,,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
